Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,CX80B1-24P,Hirose,CX80B1-24P,https://octopart.com/cx80b1-24p-hirose-96058506,J2,,CX80B1-24P,1,H26321CT-ND,798-CX80B1-24P,Cut Tape,Tape & Reel,3.44,3.13,2061,1155,1,1,https://octopart.com/click/track?ai=8237&sig=03d774b&sid=459&ppid=96058506&vpid=511973141&ct=offers,https://octopart.com/click/track?ai=8237&sig=089ce33&sid=2401&ppid=96058506&vpid=506924476&ct=offers,Digi-Key,H26321CT-ND,Cut Tape,3.44,3.44,3.44,2061,1,https://octopart.com/click/track?ai=8237&sig=03d774b&sid=459&ppid=96058506&vpid=511973141&ct=offers,
1,TSW-103-07-F-D,Samtec,TSW-103-07-F-D,https://octopart.com/tsw-103-07-f-d-samtec-10466137,J3,,Conn_01x06,1,SAM10846-ND,200-TSW10307FD,Bulk,,0.48,0.48,1160,881,1,1,https://octopart.com/click/track?ai=8237&sig=0d3e1ae&sid=459&ppid=10466137&vpid=417408285&ct=offers,https://octopart.com/click/track?ai=8237&sig=0389150&sid=2401&ppid=10466137&vpid=493295917&ct=offers,Digi-Key,SAM10846-ND,Bulk,0.48,0.48,0.48,1160,1,https://octopart.com/click/track?ai=8237&sig=0d3e1ae&sid=459&ppid=10466137&vpid=417408285&ct=offers,
2,CGA2B3X7S2A103M050BB,TDK,CGA2B3X7S2A103M050BB,https://octopart.com/cga2b3x7s2a103m050bb-tdk-28170440,"C8,C5",,10n,2,445-12286-1-ND,810-CGA2B3X7S2A103MB,Cut Tape,Tape & Reel,0.19,0.18,4517,16500,1,1,https://octopart.com/click/track?ai=8237&sig=0e974af&sid=459&ppid=28170440&vpid=73770518&ct=offers,https://octopart.com/click/track?ai=8237&sig=06cd5fb&sid=2401&ppid=28170440&vpid=222364464&ct=offers,Digi-Key,445-12286-1-ND,Cut Tape,0.19,0.38,0.38,4517,1,https://octopart.com/click/track?ai=8237&sig=0e974af&sid=459&ppid=28170440&vpid=73770518&ct=offers,
5,RMCF0402JT5K10,Stackpole Electronics,RMCF0402JT5K10,https://octopart.com/rmcf0402jt5k10-stackpole+electronics-19211473,"R10,R9,R8,R7,R1",,5.1k,5,RMCF0402JT5K10CT-ND,,Cut Tape,,0.1,,12147,,1,,https://octopart.com/click/track?ai=8237&sig=0abdfa0&sid=459&ppid=19211473&vpid=34420378&ct=offers,,Digi-Key,RMCF0402JT5K10CT-ND,Cut Tape,0.1,0.5,0.5,12147,1,https://octopart.com/click/track?ai=8237&sig=0abdfa0&sid=459&ppid=19211473&vpid=34420378&ct=offers,
1,RMCF0402FT20K5,Stackpole Electronics,RMCF0402FT20K5,https://octopart.com/rmcf0402ft20k5-stackpole+electronics-19211354,R6,,20.5k,1,RMCF0402FT20K5CT-ND,,Cut Tape,,0.1,,27360,,1,,https://octopart.com/click/track?ai=8237&sig=085f28f&sid=459&ppid=19211354&vpid=34419686&ct=offers,,Digi-Key,RMCF0402FT20K5CT-ND,Cut Tape,0.1,0.1,0.1,27360,1,https://octopart.com/click/track?ai=8237&sig=085f28f&sid=459&ppid=19211354&vpid=34419686&ct=offers,
1,RMCF0402FT1M00,Stackpole Electronics,RMCF0402FT1M00,https://octopart.com/rmcf0402ft1m00-stackpole+electronics-19212364,R5,,1M,1,RMCF0402FT1M00CT-ND,,Cut Tape,,0.1,,844992,,1,,https://octopart.com/click/track?ai=8237&sig=05ee36e&sid=459&ppid=19212364&vpid=34419680&ct=offers,,Digi-Key,RMCF0402FT1M00CT-ND,Cut Tape,0.1,0.1,0.1,844992,1,https://octopart.com/click/track?ai=8237&sig=05ee36e&sid=459&ppid=19212364&vpid=34419680&ct=offers,
1,RMCF0402FT20R0,Stackpole Electronics,RMCF0402FT20R0,https://octopart.com/rmcf0402ft20r0-stackpole+electronics-19211356,R4,,20,1,RMCF0402FT20R0CT-ND,,Cut Tape,,0.1,,143255,,1,,https://octopart.com/click/track?ai=8237&sig=0cec263&sid=459&ppid=19211356&vpid=34419688&ct=offers,,Digi-Key,RMCF0402FT20R0CT-ND,Cut Tape,0.1,0.1,0.1,143255,1,https://octopart.com/click/track?ai=8237&sig=0cec263&sid=459&ppid=19211356&vpid=34419688&ct=offers,
1,RMCF0402FT49R9,Stackpole Electronics,RMCF0402FT49R9,https://octopart.com/rmcf0402ft49r9-stackpole+electronics-19212545,R3,,49.9,1,RMCF0402FT49R9CT-ND,,Cut Tape,,0.1,,394820,,1,,https://octopart.com/click/track?ai=8237&sig=037e79e&sid=459&ppid=19212545&vpid=34419988&ct=offers,,Digi-Key,RMCF0402FT49R9CT-ND,Cut Tape,0.1,0.1,0.1,394820,1,https://octopart.com/click/track?ai=8237&sig=037e79e&sid=459&ppid=19212545&vpid=34419988&ct=offers,
1,RMCF0402FT12K1,Stackpole Electronics,RMCF0402FT12K1,https://octopart.com/rmcf0402ft12k1-stackpole+electronics-19212304,R2,,12.1k,1,RMCF0402FT12K1CT-ND,,Cut Tape,,0.1,,133790,,1,,https://octopart.com/click/track?ai=8237&sig=046311b&sid=459&ppid=19212304&vpid=34419526&ct=offers,,Digi-Key,RMCF0402FT12K1CT-ND,Cut Tape,0.1,0.1,0.1,133790,1,https://octopart.com/click/track?ai=8237&sig=046311b&sid=459&ppid=19212304&vpid=34419526&ct=offers,
