Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,SIPM,,,,D1,,SIPM,1,,,,,,,,,,,,,,,,,,,,,,
2,RMCF0402FT1K50,Stackpole Electronics,RMCF0402FT1K50,https://octopart.com/rmcf0402ft1k50-stackpole+electronics-19212357,"R2,R3",,1.5k,2,RMCF0402FT1K50CT-ND,,Cut Tape,,0.1,,283872,,1,,https://octopart.com/click/track?ai=8237&sig=037d087&sid=459&ppid=19212357&vpid=34419658&ct=offers,,Arrow Electronics,RMCF0402FT1K50,Cut Tape,0.095,0.19,0.19,3142,1,https://octopart.com/click/track?ai=8237&sig=02e4bc4&sid=1106&ppid=19212357&vpid=473441968&ct=offers,
1,SSQ-103-01-G-D,Samtec,SSQ-103-01-G-D,https://octopart.com/ssq-103-01-g-d-samtec-294572,J1,,SSQ-103-01-G-D,1,SAM1179-03-ND,200-SSQ10301GD,Bulk,Bulk,1.03,1.61,313,71,1,1,https://octopart.com/click/track?ai=8237&sig=065f093&sid=459&ppid=294572&vpid=1880635&ct=offers,https://octopart.com/click/track?ai=8237&sig=0c84f45&sid=2401&ppid=294572&vpid=492975775&ct=offers,Toby Electronics,SSQ-103-01-G-D,,0.8289833296633551,0.8289833296633551,0.8289833296633551,149,1,https://octopart.com/click/track?ai=8237&sig=0ec5c50&sid=13240&ppid=294572&vpid=502828041&ct=offers,
1,OPA843IDBVT,Texas Instruments,OPA843IDBVT,https://octopart.com/opa843idbvt-texas+instruments-409240,U2,,OPA843IDBVT,1,296-14178-1-ND,595-OPA843IDBVT,Cut Tape,Tape & Reel,4.72,4.58,277,632,1,1,https://octopart.com/click/track?ai=8237&sig=0db2f5e&sid=459&ppid=409240&vpid=1505398&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b1a19b&sid=2401&ppid=409240&vpid=37702735&ct=offers,Rochester Electronics,OPA843IDBVT,,2.8,2.8,2.8,5789,1,https://octopart.com/click/track?ai=8237&sig=018ef38&sid=5832&ppid=409240&vpid=182228736&ct=offers,
1,OPA847IDBVT,Texas Instruments,OPA847IDBVT,https://octopart.com/opa847idbvt-texas+instruments-409324,U1,,OPA847IDBVT,1,296-15172-1-ND,595-OPA847IDBVT,Cut Tape,Tape & Reel,6.28,6.09,3552,2302,1,1,https://octopart.com/click/track?ai=8237&sig=0454c3a&sid=459&ppid=409324&vpid=1165193&ct=offers,https://octopart.com/click/track?ai=8237&sig=07a3656&sid=2401&ppid=409324&vpid=38999465&ct=offers,Chip One Stop Japan,C1S746202570885,,4.37,4.37,4.37,7,1,https://octopart.com/click/track?ai=8237&sig=0444d1e&sid=13512&ppid=409324&vpid=280655147&ct=offers,
1,ERJ-2RKF2200X,Panasonic,ERJ-2RKF2200X,https://octopart.com/erj-2rkf2200x-panasonic-12553013,R23,,220,1,P220LCT-ND,667-ERJ-2RKF2200X,Cut Tape,Tape & Reel,0.1,0.1,474614,327169,1,1,https://octopart.com/click/track?ai=8237&sig=0a13b22&sid=459&ppid=12553013&vpid=115222201&ct=offers,https://octopart.com/click/track?ai=8237&sig=08d8ccd&sid=2401&ppid=12553013&vpid=115534574&ct=offers,Newark,64R5267,Cut Tape,0.005,0.005,0.005,48836,1,https://octopart.com/click/track?ai=8237&sig=032e2ed&sid=2402&ppid=12553013&vpid=115394068&ct=offers,
2,RMCF0402FT422R,Stackpole Electronics,RMCF0402FT422R,https://octopart.com/rmcf0402ft422r-stackpole+electronics-19212524,"R21,R20",,422,2,RMCF0402FT422RCT-ND,,Cut Tape,,0.1,,81994,,1,,https://octopart.com/click/track?ai=8237&sig=0759ca0&sid=459&ppid=19212524&vpid=449845313&ct=offers,,Digi-Key,RMCF0402FT422RCT-ND,Cut Tape,0.1,0.2,0.2,81994,1,https://octopart.com/click/track?ai=8237&sig=0759ca0&sid=459&ppid=19212524&vpid=449845313&ct=offers,
2,RMCF0402FT36R0,Stackpole Electronics,RMCF0402FT36R0,https://octopart.com/rmcf0402ft36r0-stackpole+electronics-21527175,"R11,R4",,36,2,RMCF0402FT36R0CT-ND,,Cut Tape,,0.1,,27870,,1,,https://octopart.com/click/track?ai=8237&sig=0308555&sid=459&ppid=21527175&vpid=449845218&ct=offers,,Digi-Key,RMCF0402FT36R0CT-ND,Cut Tape,0.1,0.2,0.2,27870,1,https://octopart.com/click/track?ai=8237&sig=0308555&sid=459&ppid=21527175&vpid=449845218&ct=offers,
1,RMCF0402FT28R0,Stackpole Electronics,RMCF0402FT28R0,https://octopart.com/rmcf0402ft28r0-stackpole+electronics-19212432,R5,,28,1,RMCF0402FT28R0CT-ND,,Cut Tape,,0.1,,5660,,1,,https://octopart.com/click/track?ai=8237&sig=08941b0&sid=459&ppid=19212432&vpid=34419774&ct=offers,,Digi-Key,RMCF0402FT28R0CT-ND,Cut Tape,0.1,0.1,0.1,5660,1,https://octopart.com/click/track?ai=8237&sig=08941b0&sid=459&ppid=19212432&vpid=34419774&ct=offers,
