Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,TPS79333DBVR,Texas Instruments,TPS79333DBVR,https://octopart.com/tps79333dbvr-texas+instruments-525272,U5,,TPS79333DBVR,1,296-12961-1-ND,595-TPS79333DBVR,Cut Tape,Tape & Reel,0.73,0.72,8964,14486,1,1,https://octopart.com/click/track?ai=8237&sig=0867a10&sid=459&ppid=525272&vpid=1212648&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b4db10&sid=2401&ppid=525272&vpid=37722785&ct=offers,Rochester Electronics,TPS79333DBVR,,0.31,0.31,0.31,2418,1,https://octopart.com/click/track?ai=8237&sig=01bf1ab&sid=5832&ppid=525272&vpid=182253013&ct=offers,
1,LM2776DBVR,Texas Instruments,LM2776DBVR,https://octopart.com/lm2776dbvr-texas+instruments-58839919,U1,,LM2776,1,296-43957-1-ND,595-LM2776DBVR,Cut Tape,Tape & Reel,1.05,1.01,21971,3216,1,1,https://octopart.com/click/track?ai=8237&sig=0eaa3ca&sid=459&ppid=58839919&vpid=254654228&ct=offers,https://octopart.com/click/track?ai=8237&sig=048dc14&sid=2401&ppid=58839919&vpid=229703160&ct=offers,Newark,44AC5463,Cut Tape,0.608,0.608,0.608,770,1,https://octopart.com/click/track?ai=8237&sig=05ce30c&sid=2402&ppid=58839919&vpid=530101812&ct=offers,
1,TPS72301DBVR,Texas Instruments,TPS72301DBVR,https://octopart.com/tps72301dbvr-texas+instruments-2537344,U3,,TPS72301DBVR,1,296-27049-1-ND,595-TPS72301DBVR,Cut Tape,Tape & Reel,2.73,2.72,35756,6849,1,1,https://octopart.com/click/track?ai=8237&sig=0a4ba03&sid=459&ppid=2537344&vpid=34363635&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b4ecb5&sid=2401&ppid=2537344&vpid=50096979&ct=offers,LCSC,C34678,,1.1939,1.1939,1.1939,4941,1,https://octopart.com/click/track?ai=8237&sig=00e738e&sid=27971&ppid=2537344&vpid=445993252&ct=offers,
1,RMCF0603FT36K5,Stackpole Electronics,RMCF0603FT36K5,https://octopart.com/rmcf0603ft36k5-stackpole+electronics-19213184,R9,,36.5k,1,RMCF0603FT36K5CT-ND,,Cut Tape,,0.1,,17207,,1,,https://octopart.com/click/track?ai=8237&sig=04960f7&sid=459&ppid=19213184&vpid=34420892&ct=offers,,Arrow Electronics,RMCF0603FT36K5,Cut Tape,0.095,0.095,0.095,4741,1,https://octopart.com/click/track?ai=8237&sig=093cc54&sid=1106&ppid=19213184&vpid=473442785&ct=offers,
1,RMCF0603FT64k9,Stackpole Electronics,RMCF0603FT64K9,https://octopart.com/rmcf0603ft64k9-stackpole+electronics-19211208,R8,,64.9k,1,RMCF0603FT64K9CT-ND,,Cut Tape,,0.1,,72172,,1,,https://octopart.com/click/track?ai=8237&sig=09386cd&sid=459&ppid=19211208&vpid=34421166&ct=offers,,Arrow Electronics,RMCF0603FT64K9,Cut Tape,0.095,0.095,0.095,1524,1,https://octopart.com/click/track?ai=8237&sig=0cc81eb&sid=1106&ppid=19211208&vpid=473442973&ct=offers,
1,C0603C103M5RACTU,KEMET,C0603C103M5RACTU,https://octopart.com/c0603c103m5ractu-kemet-96399,C17,,10n,1,399-7842-1-ND,80-C0603C103M5R,Cut Tape,Tape & Reel,0.1,0.1,764446,402832,1,1,https://octopart.com/click/track?ai=8237&sig=0f12aad&sid=459&ppid=96399&vpid=51926337&ct=offers,https://octopart.com/click/track?ai=8237&sig=008e70f&sid=2401&ppid=96399&vpid=37794528&ct=offers,Quest,C0603C103M5RACTU,,0.084,0.084,0.084,38303,1,https://octopart.com/click/track?ai=8237&sig=09a79cc&sid=2412&ppid=96399&vpid=44465503&ct=offers,
4,CL10A226MPMNUBE,Samsung,CL10A226MPMNUBE,https://octopart.com/cl10a226mpmnube-samsung-68086945,"C15,C1,C5,C3",,22u,4,1276-6751-1-ND,,Cut Tape,,0.32,,52,,1,,https://octopart.com/click/track?ai=8237&sig=0a5d42e&sid=459&ppid=68086945&vpid=254259638&ct=offers,,Future Electronics,CL10A226MPMNUBE-CUTT,Cut Tape,0.315,1.26,1.26,2310,1,https://octopart.com/click/track?ai=8237&sig=04cae6d&sid=2454&ppid=68086945&vpid=579730366&ct=offers,
2,CL10A105KA8NNNC,Samsung,CL10A105KA8NNNC,https://octopart.com/cl10a105ka8nnnc-samsung-9300957,"C8,C2",,1uF,2,1276-1102-1-ND,,Cut Tape,,0.1,,3325512,,1,,https://octopart.com/click/track?ai=8237&sig=02e1842&sid=459&ppid=9300957&vpid=72523541&ct=offers,,Newark,82AC9275,Cut Tape,0.09,0.18,0.18,53252,1,https://octopart.com/click/track?ai=8237&sig=0115595&sid=2402&ppid=9300957&vpid=511545380&ct=offers,
1,SSQ-103-03-G-D,Samtec,SSQ-103-03-G-D,https://octopart.com/ssq-103-03-g-d-samtec-295414,J3,,SSQ-103-03-G-D,1,SAM1196-03-ND,200-SSQ10303GD,Bulk,Bulk,1.13,1.77,1047,188,1,1,https://octopart.com/click/track?ai=8237&sig=0b4b747&sid=459&ppid=295414&vpid=1213204&ct=offers,https://octopart.com/click/track?ai=8237&sig=0cf997f&sid=2401&ppid=295414&vpid=492975789&ct=offers,Toby Electronics,SSQ-103-03-G-D,,0.9196533813452845,0.9196533813452845,0.9196533813452845,0,1,https://octopart.com/click/track?ai=8237&sig=0b8d9a2&sid=13240&ppid=295414&vpid=502828050&ct=offers,
